Jaar,Maand,Dag,DagNaam,Uur,Minuut,Type,Persoon,Psalmen
2023,January,1,Sunday,18,30,Avonddienst,Ds.Teeuw uit Sliedrecht,"Vz: Psalm 130
Psalm 25 vers 2 en 5
Psalm 37 vers 12
Schriftlezing: Mattheüs 7 vers 13 t/m 29
Psalm 119 vers 30 en 33
Peek: Mattheüs 7 vers 13 en 14
Psalm 118 vers 9 en 10
Psalm 100 vers 3"
2023,January,1,Sunday,10,00,Ochtenddienst,Ds. Lugthart,"Vz: Psalm 138 vers 2
Psalm 121 vers 1 en 2
Psalm 17 vers 3
Schriftlezing: Titus 2 vers 1 t/m 15
Psalm 36 vers 3
Preek:
Psalm 84 vers 5 en 6
Collectes:
Psalm 67 vers 1 en 3"
2022,December,31,Saturday,19,30,Avonddienst,Ds. Lugthart,"Vz: Psalm 128 vers 1
Psalm 93 vers 1 en 2 en 3
Psalm 93 vers 4
Schriftlezing: Psalm 138
Psalm 89 vers 1 en 3
Preek: “Een loflied op oudjaarsavond”.
Psalm 138 vers 1 en 2
Collectes:
Psalm 138 vers 3 en 4"
2022,December,26,Monday,10,00,Kerstviering Zondagschool,Onbekend,Onbekend
2022,December,25,Sunday,18,30,Avonddienst,Ds. Overeem uit Woerden,"Vz: Psalm 127
Psalm 13 vers 1 en 3
Psalm 22 vers 14
Schriftlezing: Mattheüs 2 vers 1 t/m 12
Psalm 72 vers 6 en 8 en 10
Preek
Psalm 96 vers 6
Psalm 2 vers 6 en 7"
2022,December,25,Sunday,9,45,Ochtenddienst,Ds. Lugthart,"Vz: Kerstliederen
Psalm 98 vers 1 en 2
Psalm 103 vers 2
Schriftlezing: Lukas 2 vers 1 t/m 20
Psalm 72 vers 1 en 6
Preek: “Grote blijdschap”.
Psalm 71 vers 16 en 17
Collectes:
Psalm 150 vers 1 en 3"
2022,December,18,Sunday,18,30,Avonddienst,Ds. Molenaar uit Zoetermeer,"Vz: Psalm 126 vers 2
Psalm 89 vers 1 en 2
Psalm 2 vers 7
Schriftlezing: Jesaja 7 vers 10t/m 14 en Mattheüs 1 vers 18 t/m 25 en Mattheüs 28 vers 16 t/m 20
Psalm 40 vers 4 en 8
Preek: Immanuël
Gezang 3 vers 1 en 4
Psalm 72 vers 4 en 6"
2022,December,18,Sunday,10,00,Ochtenddienst,Ds. van Wijk uit Hedel,"Vz: Psalm 125 vers 1 en 4
Psalm 99 vers 1 en 2
Psalm 119 vers 81
Schriftlezing: Exodus 2 vers 1 t/m 10
Psalm 105 vers 14 en 15
Preek: Exodus 2 vers 10
Psalm 77 vers 8 en 9
Collectes:
Psalm 68 vers 11"
2022,December,17,Saturday,19,30,Kerstzangdienst Chr. Gem. Zangver. “IMMANUËL”,Onbekend,"Chr. Gem. Zangver. “IMMANUËL”
o.l.v. Cees van der Slik
m.m.v.
Jan Verweij, orgel
Anita Hoogendoorn-van Dijk, fluit"
2022,December,11,Sunday,18,30,Avonddienst Dankzegging Heilig Avondmaal,Ds. Lugthart,"Vz: Psalm 124 vers 1 en 4
Psalm 84 vers 5 en 6
Psalm 56 vers 6
Schriftlezing: Romeinen 12 vers 1 t/m 2 en 9 t/m 21 en Romeinen 13 vers 8 t/m 14
Psalm 101 vers 2 en 3
Preek: ""Leven gericht op de grote dag die komt
Psalm 17 vers 3 en 7 en 8
Collectes:
Psalm 68 vers 2"
2022,December,11,Sunday,9,30,Ochtenddienst ( Bediening H.A.),Ds. Lugthart,"Vz: Psalm 24 vers 5
Psalm 132 vers 5 en 10
Psalm 5 vers 12
Schriftlezing: 1 Thessalonicenzen 5 vers 1 t/m 11
Psalm 130 vers 3 en 4
Preek:
Psalm 140 vers 7 en 13
Tweed gedeelte Avondmaalsformulier
Psalm 23 vers 3 ( terwijl de tafel wordt voorbereid )
Bediening Heilig Avondmaal
Lofzang van Maria
Collectes:
Lofzang van Simeon vers 1 en 2"
2022,December,4,Sunday,18,30,Avonddienst,Ds. van Duijvenboden uit Apeldoorn,Onbekend
2022,December,4,Sunday,10,00,Ochtenddienst,Ds. Lugthart,Onbekend
2022,November,27,Sunday,18,30,Avonddienst,Ds. Boon uit Veenendaal,"Vz: Psalm 122 vers 1
Psalm 93 vers 1 en 4
Psalm 2 vers 7
Schriftlezing: Lukas 1 vers 23 t/m 45
Psalm 98 vers 1 en 2
Preek: Preludium op het kerstfeest.
Psalm 25 vers 6 en 7
Collectes:
Psalm 68 vers 2 en 5"
2022,November,27,Sunday,10,00,Ochtenddienst,Dhr. van Eckeveld uit Woerden,"Vz: Psalm
Lofzang van Zacharias
Psalm 119 vers 8 en 9
Schriftlezing: Lukas 1 vers 26 t/m 38
Avondzang vers 1 en 7
Preek: Zo Zoon, zo moeder
Psalm 105 vers 5 en 22 en 24
Collectes:
Lofzang van Maria vers 1 en 3 en 7"
2022,November,20,Sunday,18,30,Avonddienst,Prop. van Vliet uit Uddel,"Vz: Psalm 120 vers 1
Psalm 100 vers 1 en 2
Psalm 25 vers 4
Schriftlezing: 1 Petrus 1 vers 1 t/m 12
Psalm 130 vers 3 en 4
Preek: “Een levende hoop”.
Psalm 16 vers 3 en 6
Collectes:
Psalm 146 vers 2 en 3"
2022,November,20,Sunday,10,00,Ochtenddienst ( Eeuwigheidszondag ),Ds. Lugthart,"Vz: Psalm 27 vers 1
Psalm 84 vers 3 en 6
Psalm 143 vers 10
Schriftlezing: Genesis 35 vers 9 t/m 20
Psalm 56 vers 4 en 5
Preek: “Sprekende stenen”.
Psalm 42 vers 2 en 3
Gedachtenis van de gestorvenen
Psalm 103 vers 8 en 9
Collectes:
Psalm 146 vers 3"
2022,November,19,Saturday,19,15,Con Forza,Onbekend,Onbekend
2022,November,13,Sunday,18,30,Avonddienst,Ds. van Vuuren uit Capelle aan de IJssel,"Vz: Psalm 119 vers 1 en 9
Psalm 118 vers 1 en 10
Psalm 118 vers 14
Schriftlezing: Genesis 4 vers 1 t/m 16 en Numeri 15 vers 17 t/m 21 en Deuteronomium 15 vers 19 t/m 21
Psalm 116 vers 1 en 9 en 10
Preek: “Het is niet om het even hoe wij geven”.
Psalm 119 vers 54
Psalm 66 vers 2 en 6"
2022,November,13,Sunday,10,00,Ochtenddienst,Ds. Lugthart,"In deze dienst is er een kerkboekje voor de kinderen.
Vz: Psalm 25 vers 2
Psalm 105 vers 1 en 2
Psalm 119 vers 5
Schriftlezing: Johannes 1 vers 35 t/m 52
Psalm 66 vers 8 en 10
Preek: “De vraag van Jezus”.
Psalm 40 vers 5
Collectes:
Psalm 108 vers 1 en 2"
2022,November,6,Sunday,18,30,Avonddienst ( Themadienst ),Ds. Lugthart,"Thema: “Bewijs het maar eens”.
Liturgie volgens het boekje."
